Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
THRX,Theseus Pharmaceuticals Inc.,150M,200K,1.92,3.2% - 8.5%,$4.50 - 02:15 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,THE-630,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Kura (KURA) Nuvalent (NUVL),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
TNGX,Tango Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$8.50 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,TNG908,None,None,Phase 1 Data Readout Q3 2026,None,Oncology,Relay (RLAY) Nuvalent (NUVL),15 months,May 7 2025,EPS -0.35 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate cash runway
TRML,Tourmaline Bio Inc.,650M,300K,1.65,2.5% - 7%,$15.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,TOUR006,None,None,Phase 2 Data Readout Q1 2026,None,Immunology,Argenx (ARGX) Regeneron (REGN),20 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Immunology focus; TOUR006 promising; stable cash position
VKTX,Viking Therapeutics Inc.,5.5B,1.8M,1.54,2% - 6%,$65.20 - 02:15 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,VK2735,None,VK2735 Fast Track 2024,Phase 3 Data Readout Q1 2026,None,Obesity,Novo Nordisk (NVO) Eli Lilly (LLY),24 months,May 7 2025,EPS -0.25 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),8 (A-),BUY,USA,VK2735 promising in obesity; strong cash position; high market interest
VRDN,Viridian Therapeutics Inc.,650M,500K,1.87,3% - 8%,$12.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,VRDN-001,None,VRDN-001 Fast Track 2023,Phase 3 Data Readout Q4 2025,None,Immunology,Argenx (ARGX) Regeneron (REGN),18 months,May 8 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Immunology focus; VRDN-001 pivotal data key; moderate cash runway
VRNA,Verona Pharma plc,2.2B,600K,1.65,2.5% - 7%,$28.50 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Ensifentrine,Ohtuvayre Jun 2024,Ohtuvayre Fast Track 2023,Commercial Expansion Q4 2025,None,Respiratory,Insmed (INSM) Chiesi,24 months,May 7 2025,EPS -0.35 +8% Beat Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,UK,Ohtuvayre recently approved; commercial ramp-up critical; stable finances
VSTM,Verastem Inc.,200M,700K,2.01,3.5% - 9%,$3.20 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Avutometinib,None,None,Phase 2 Data Readout Q4 2025,None,Oncology,Kura (KURA) Relay (RLAY),15 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate cash runway
VYGR,Voyager Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$8.50 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,VY-TAU01,None,None,Phase 1 Data Readout Q3 2026,Neurocrine (NBIX),Neurodegenerative Diseases,Denali (DNLI) Alector (ALEC),18 months,May 7 2025,EPS -0.45 -8% Miss Revenue 12.3M +5% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,Neuro focus; early-stage pipeline; Neurocrine partnership
WVE,Wave Life Sciences Ltd.,650M,600K,1.92,3.2% - 8.5%,$8.80 - 02:15 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,WVE-006,None,WVE-006 Fast Track 2024,Phase 2 Data Readout Q1 2026,GSK (GSK),Rare Diseases,Amicus (FOLD) Ultragenyx (RARE),18 months,May 8 2025,EPS -0.25 -10% Miss Revenue 15.2M -5% Miss,Aug 6 2025 (est.),7 (B+),BUY,USA,Rare disease focus; WVE-006 promising; GSK partnership
XENE,Xenon Pharmaceuticals Inc.,2.8B,500K,1.54,2% - 6%,$45.50 - 02:11 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,Azatirionant,None,None,Phase 3 Data Readout Q4 2025,Neurocrine (NBIX),CNS Disorders,Sage (SAGE) Jazz (JAZZ),24 months,May 7 2025,EPS -0.65 -8% Miss Revenue 0.3M N/A,Aug 5 2025 (est.),7 (B+),BUY,Canada,Azatirionant pivotal data key; CNS focus; strong cash position[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-xene/xenon-pharmaceuticals/news/estimating-the-intrinsic-value-of-xenon-pharmaceuticals-inc)
XERS,Xeris Biopharma Holdings Inc.,350M,700K,1.87,3% - 8%,$2.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,Levoketoconazole,Keveyis Aug 2015 Gvoke Sep 2019 Recorlev Dec 2021,Keveyis Fast Track 2014,Commercial Expansion Q4 2025,None,Endocrinology,MannKind (MNKD) Corcept (CORT),N/A,May 8 2025,EPS -0.10 +10% Beat Revenue 45.3M +12% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Multiple commercial products; stable revenue; niche endocrinology market
ZNTL,Zentalis Pharmaceuticals Inc.,350M,600K,1.92,3.2% - 8.5%,$4.80 - 02:11 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Azenosertib,None,Azenosertib Fast Track 2023,Phase 2 Data Readout Q3 2026,None,Oncology,Pfizer (PFE) Kura (KURA),15 months,May 7 2025,EPS -0.85 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; FDA lifted clinical hold on azenosertib; moderate cash runway[](https://finance.yahoo.com/news/biotech-stock-roundup-gild-nuvl-132100903.html?.tsrc=rss)
PMVP,PMV Pharmaceuticals Inc.,150M,400K,2.01,3.5% - 9%,$2.20 - 02:11 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,PC14586,None,None,Phase 2 Data Readout Q4 2025,None,Oncology,Kura (KURA) Relay (RLAY),12 months,May 8 2025,EPS -0.35 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
XOMA,XOMA Corporation,350M,200K,1.65,2.5% - 7%,$28.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,N/A,Multiple Royalty Agreements,None,Commercial Expansion Q4 2025,Ligand (LGND) Vir Biotechnology (VIR),Royalty Financing,Ligand (LGND) Royalty Pharma (RPRX),N/A,May 7 2025,EPS 0.15 +10% Beat Revenue 15.9M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Royalty-based model; stable revenue; Q1 2025 revenue beat expectations[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-xoma/xoma-royalty/news/xoma-royalty-first-quarter-2025-earnings-beats-expectations)
ZVRA,Zevra Therapeutics Inc.,200M,700K,2.01,3.5% - 9%,$8.50 - 02:11 PM EDT 06/10/2025,No,Increase,Commercial,Healthcare,Biotechnology,Azstarys,Azstarys Mar 2021,Azstarys Fast Track 2020,Commercial Expansion Q4 2025,None,CNS Disorders,Jazz (JAZZ) Axsome (AXSM),N/A,May 8 2025,EPS -0.15 +8% Beat Revenue 12.5M +10% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Azstarys commercialized; niche CNS market; stable finances
ZBIO,Zenas BioPharma Inc.,650M,300K,1.76,2.8% - 7.5%,$18.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,Obexelimab,None,Obexelimab Fast Track 2023,Phase 3 Data Readout Q2 2025,None,Immunology,Argenx (ARGX) Regeneron (REGN),18 months,May 6 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 7 2025 (est.),6 (B),HOLD,USA,Immunology focus; obexelimab promising; phase 3 data expected soon[](https://seekingalpha.com/article/4773527-zenas-differentiated-b-cell-targeting-drug-with-q3-of-2025-catalyst)
ZYME,Zymeworks Inc.,1.2B,600K,1.65,2.5% - 7%,$12.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Zanidatamab,None,Zanidatamab Fast Track 2023,Phase 3 Data Readout Q4 2025,Jazz (JAZZ) GSK (GSK),Oncology,Amgen (AMGN) Merck (MRK),24 months,May 7 2025,EPS -0.45 -8% Miss Revenue 15.3M +5% Beat,Aug 5 2025 (est.),7 (B+),BUY,Canada,Oncology focus; zanidatamab pivotal data key; strong partnerships
